company_name,phone,website,address,city,state,lat,lng,rating,review_count,categories,source_url,source
American Trucking Company,+13474356378,,"67 Cutter Mill Rd, Great Neck, NY 11021",Great Neck,NEW YORK,40.7859416,-73.7315583,4.9,27,Trucking company,https://www.google.com/maps/search/?api=1&query=American%20Trucking%20Company&query_place_id=ChIJnahn6bCJwokRhlyrh16y1n8,apify_google_maps
Metro Trucking Affordable Logistics INC.,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=3398991,"1144 59th St, Brooklyn, NY 11219",Brooklyn,NEW YORK,40.6312815,-74.0014018,4.9,37,Trucking company;Warehouse,https://www.google.com/maps/search/?api=1&query=Metro%20Trucking%20Affordable%20Logistics%20INC.&query_place_id=ChIJc5SkAi5FwokRkJ_ci6cNb2Y,apify_google_maps
"Atlantic Coast Trucking, LLC",+18456806754,,"6 Ramland Rd, Orangeburg, NY 10962",Orangeburg,NEW YORK,41.034781,-73.971586,3.7,3,Trucking company;Shipping company;Trucking;Warehouse,https://www.google.com/maps/search/?api=1&query=Atlantic%20Coast%20Trucking%2C%20LLC&query_place_id=ChIJeR6PAy7pwokRMxT1yl13C2I,apify_google_maps
RTC Queens,+16466424867,https://grupoenviworld.com/,"84-02 Roosevelt Ave, Jackson Heights, NY 11372",Jackson Heights,NEW YORK,40.7477205,-73.8818902,3.5,85,Freight forwarding service,https://www.google.com/maps/search/?api=1&query=RTC%20Queens&query_place_id=ChIJlZYYP2JfwokRxMV_Miudm8k,apify_google_maps
Pride Transportation Services,+17189426408,,"880 Alabama Ave, Brooklyn, NY 11207",Brooklyn,NEW YORK,40.6547785,-73.8911361,1.8,154,School bus service;Bus charter;Bus company;Handicapped transportation service;Transportation service,https://www.google.com/maps/search/?api=1&query=Pride%20Transportation%20Services&query_place_id=ChIJ-VOd4fxcwokRWYFCz1iuwVQ,apify_google_maps
The Golden Truck Moving Company,+16467084344,http://www.moversinbrooklyn.com/,"914 Bushwick Ave, Brooklyn, NY 11221",Brooklyn,NEW YORK,40.6929122,-73.9248107,5,136,Mover;Moving and storage service;Piano moving service,https://www.google.com/maps/search/?api=1&query=The%20Golden%20Truck%20Moving%20Company&query_place_id=ChIJ4epbkuxdwokRSJ0SEfQ8tvs,apify_google_maps
"Clean Collection, Inc.",+19296102406,,,,,40.7324605,-73.7113344,4.9,124,Trucking company;Construction company;Demolition contractor;Service establishment;Landscaper;Moving and storage service;Painter;Waste management service,https://www.google.com/maps/search/?api=1&query=Clean%20Collection%2C%20Inc.&query_place_id=ChIJmRsUC-RdwokRmdO_n-YD2VI,apify_google_maps
Alabama Carriers Inc,+12058414050,http://www.alabamacarriers.com/,"3800 Industrial Dr, Birmingham, AL 35217",Birmingham,ALABAMA,33.6149398,-86.7544195,4.3,42,Trucking company;Transportation service,https://www.google.com/maps/search/?api=1&query=Alabama%20Carriers%20Inc&query_place_id=ChIJA3I5zXYFiYgRNmLeHSFbXUo,apify_google_maps
Watkins Trucking Co,+12055923422,http://www.watkinstrucking.com/,"4632 Richard Arrington Jr Blvd N, Birmingham, AL 35212",Birmingham,ALABAMA,33.5437337,-86.7661984,4.1,43,Trucking company,https://www.google.com/maps/search/?api=1&query=Watkins%20Trucking%20Co&query_place_id=ChIJxUI2vO0aiYgR9rtYgDZswrI,apify_google_maps
Ayaan Busing & Trucking Institute Inc,+17188508100,http://www.ayaaninstitute.org/,"102-43 Jamaica Ave, Richmond Hill, NY 11418",Richmond Hill,NEW YORK,40.6952553,-73.8437661,4.8,143,Truck driving school;Boating instructor;Drivers license training school;Insurance broker;Motorcycle driving school;Motorcycle insurance agency;Training center;Driving school;Vocational school,https://www.google.com/maps/search/?api=1&query=Ayaan%20Busing%20%26%20Trucking%20Institute%20Inc&query_place_id=ChIJaWhC-bldwokRSHT8dhKc7ws,apify_google_maps
Great Western Transportation,+19254849500,http://www.gwtrans.com/,"5000 Pleasanton Ave Suite 145, Pleasanton, CA 94566",Pleasanton,CALIFORNIA,37.6582665,-121.8839267,4.9,30,Trucking company;Shipping company;Transportation service,https://www.google.com/maps/search/?api=1&query=Great%20Western%20Transportation&query_place_id=ChIJaXdRg-rpj4ARurUsNT4gNlk,apify_google_maps
Stewart Transport,+16022421800,http://www.stewarttransport.com/,"8164 W Buckeye Rd, Phoenix, AZ 85043",Phoenix,ARIZONA,33.4379787,-112.235379,4.3,94,Trucking company,https://www.google.com/maps/search/?api=1&query=Stewart%20Transport&query_place_id=ChIJ_____1AUK4cR4qnrk0Lx9tI,apify_google_maps
