company_name,phone,website,address,city,state,lat,lng,rating,review_count,categories,source_url,source
USA Trucking LLC,+13072663094,,"5370 W Poison Spider Rd, Casper, WY 82604",Casper,WY,42.8449998,-106.395631,4.5,35,Trucking company,https://www.google.com/maps/search/?api=1&query=USA%20Trucking%20LLC&query_place_id=ChIJWRfuoZ2jYIcR8TGKrIsaV44,apify_google_maps
CrossCountry Freight Solutions,+18005210287,https://www.ccfs.com/,"999 Tks court, Mills, WY 82644",Mills,WY,42.8607422,-106.3634247,3.7,3,Trucking company,https://www.google.com/maps/search/?api=1&query=CrossCountry%20Freight%20Solutions&query_place_id=ChIJow-COoK9YIcRf_ADLUUEmX0,apify_google_maps
S & T Trucking Logistics,+13076559580,,"1224 WY-345, Ranchester, WY 82839",Ranchester,WY,44.9110247,-107.164578,4.6,9,Trucking company,https://www.google.com/maps/search/?api=1&query=S%20%26%20T%20Trucking%20Logistics&query_place_id=ChIJr5kWh34ANlMRpdic_9TA7yY,apify_google_maps
Jackson Hole Air Freight,+13077330792,,"2055 Corner Creek Ln, Jackson, WY 83001",Jackson,WY,43.4605,-110.806,,0,Trucking company,https://www.google.com/maps/search/?api=1&query=Jackson%20Hole%20Air%20Freight&query_place_id=ChIJu-L3JDcaU1MRH3C_QHy_uMM,apify_google_maps
"Rocky Mountain Logistics, Inc.",+13078574955,,"607 W Fremont Ave, Riverton, WY 82501",Riverton,WY,43.0195059,-108.3964985,4.6,7,Trucking company;Oil field equipment supplier,https://www.google.com/maps/search/?api=1&query=Rocky%20Mountain%20Logistics%2C%20Inc.&query_place_id=ChIJzWG10AHdWIcRv6w7u0Y3UyQ,apify_google_maps
Old Dominion Freight Line,+13076322156,https://www.odfl.com/us/en/tools/service-center-locator/WY/CHY.html,"7905 Hutchins Dr, Cheyenne, WY 82007",Cheyenne,WY,41.1347328,-104.7105109,5,27,Trucking company;Shipping company,https://www.google.com/maps/search/?api=1&query=Old%20Dominion%20Freight%20Line&query_place_id=ChIJzQOwl9Y8b4cR6MKEpynPsSM,apify_google_maps
P C Transport,+13077893897,http://www.pctiwy.com/locations/,"75 Allegiance Cir, Evanston, WY 82930",Evanston,WY,41.2577215,-110.9969989,5,1,Trucking company,https://www.google.com/maps/search/?api=1&query=P%20C%20Transport&query_place_id=ChIJ6wyfISt5UYcRtJ5pOzd2Kpw,apify_google_maps
Old Dominion Freight Line,+13072373499,https://www.odfl.com/us/en/tools/service-center-locator/WY/CPW.html,"2900 Opportunity Boulevard, Casper, WY 82601",Casper,WY,42.8638989,-106.3548836,4.5,11,Trucking company;Shipping company,https://www.google.com/maps/search/?api=1&query=Old%20Dominion%20Freight%20Line&query_place_id=ChIJ6UhQPQ68YIcRETpblO08hgA,apify_google_maps
JRS Trucking,+13073862593,,"489 S Pine St, La Barge, WY 83123",La Barge,WY,42.2587754,-110.1971956,5,1,Trucking company,https://www.google.com/maps/search/?api=1&query=JRS%20Trucking&query_place_id=ChIJURCrhVwiV4cRrADBw_rBcbE,apify_google_maps
Childers Trucking,+13072662353,,"1009 Falcon Ave, Mills, WY 82604",Mills,WY,42.8460791,-106.3844746,4.1,7,Trucking company,https://www.google.com/maps/search/?api=1&query=Childers%20Trucking&query_place_id=ChIJc9PTAHGjYIcRU-IuKIp2Vms,apify_google_maps
West Coast Freight Inc,+15306441759,http://westcoastfreight.biz/,"5540 Manx Rd, Pollock Pines, CA 95726",Pollock Pines,CA,38.7287729,-120.6159865,,0,Shipping company,https://www.google.com/maps/search/?api=1&query=West%20Coast%20Freight%20Inc&query_place_id=ChIJUUginIBGmoARmhKb3L5Oqhc,apify_google_maps
Short Notice Hot Shot Courier,+13072595111,,"160 4th St, Evansville, WY 82636",Evansville,WY,42.8631169,-106.2655695,5,3,Trucking company,https://www.google.com/maps/search/?api=1&query=Short%20Notice%20Hot%20Shot%20Courier&query_place_id=ChIJL9jqWxC8YIcRShWxDpbWpT4,apify_google_maps
Old Dominion Freight Line,+13073826710,https://www.odfl.com/us/en/tools/service-center-locator/WY/RSW.html,"85 Gookin-White Mountain Rd, Rock Springs, WY 82901",Rock Springs,WY,41.5764754,-109.2718548,5,7,Trucking company;Shipping company,https://www.google.com/maps/search/?api=1&query=Old%20Dominion%20Freight%20Line&query_place_id=ChIJ7VtlH2VhWocRnp14DED3wG0,apify_google_maps
